method,resume_index,rank,resume_id,resume_category,resume_text_preview,job_id,job_title,job_categories,job_skills,score,relevant
Hybrid Fine-tuned SBERT + Skill Overlap,10,1,22593054,ARTS,independent consultant career overview energetic customer service or pr representative motivated to maintain customer satisfaction and contribute to company success. i m enthusiastic to connect with people and offer them the best customer service they ve experienced to date all while capitalizing on,3887574186,"Leasing Consultant, Multifamily","SALES, CONSULTANT","Management, Sales",0.7525156712532044,False
Hybrid Fine-tuned SBERT + Skill Overlap,322,1,21614256,ADVOCATE,bilingual domestic violence advocate skills word programs including excel and access epic and other electronic medical records and the database efforts to outcome eto . working knowledge of sas and r. experience bilingual domestic violence advocate sep 2015 to nov 2016 company name city state provid,3905648912,Registered Nurse (RN) - OR - Operating Room - $32-52 per hour - R107106,HEALTHCARE,Other,0.8411763072013855,False
Hybrid Fine-tuned SBERT + Skill Overlap,77,1,26695839,HEALTHCARE,commission specialist skills business administrator project manager data entry business manager performance analyst results focused goal oriented business financial analyst with extensive experience in the business nonprofit and health care sectors. mba graduate with a focus on project management an,3905337329,Business Analyst,INFORMATION-TECHNOLOGY,"Analyst, Information Technology, Research",0.7711109240849813,False
Hybrid Fine-tuned SBERT + Skill Overlap,1,1,21669215,PUBLIC-RELATIONS,marketing coordinator skills advertisements approach content customer service databases direct mail direction editing email graphic managing marketing strategies marketing marketing collateral materials newsletter online marketing press releases production manager research sales script stories video,3758935273,Marketing Coordinator,SALES,"Marketing, Sales",0.8554963159561157,False
Hybrid Fine-tuned SBERT + Skill Overlap,131,1,31547476,CHEF,administrative assistant career overview i would like the opportunity to enhance your department with my experience skills and knowledge. over 1.5 years as an assistant in the medical field. over 6 years in customer service and sales. medical billing and coding associates degree completed in decembe,3902366186,Clinical Operations Manager,HEALTHCARE,"Administrative, Customer Service, Management",0.7826709389686585,False
Hybrid Fine-tuned SBERT + Skill Overlap,382,1,43752620,ENGINEERING,engineering intern summary automotive engineer seeking systems engineer position at your esteemed organization with scope for career advancement and professional development. skills autocad ansys cero catia hypermesh dfmea ms office suite fortran c matlab simulink cnc programming experience dec 2016,3902869064,Engineering Intern,INFORMATION-TECHNOLOGY,"Engineering, Information Technology",0.8014167094230652,False
Hybrid Fine-tuned SBERT + Skill Overlap,38,1,13727873,PUBLIC-RELATIONS,market analyst promoted to assistant director of brand strategy professional summary dear cristina and team the second i found out about this position my i found myself extremely excited. i knew right away this is something i have to be a part of and something i d deeply regret if i didn t try. i m ,3901357629,Sr. Analyst - Customer Growth Direct Marketing,SALES,"Marketing, Sales",0.7746851972171238,False
Hybrid Fine-tuned SBERT + Skill Overlap,158,1,37818861,CONSULTANT,construction consultant summary to secure a project management position with a dynamic organization where i can be contribute to a team and utilize my extensive leadership experience to develop and grow the business. held every management position within the organization including general manger nat,3902758853,Senior Construction Project Manager,CONSTRUCTION,"Consulting, Management, Project Management",0.7854814291000366,False
Hybrid Fine-tuned SBERT + Skill Overlap,46,1,28325193,ARTS,theater arts teacher program director summary passionate and dedicated theater arts teacher with expertise in secondary curriculum development classroom management relationship building continued professional development and management of a successful theater arts program for over six years. highlig,3885115132,Performing Arts Teacher,TEACHER,"Education, Training",0.8172402024269104,False
Hybrid Fine-tuned SBERT + Skill Overlap,286,1,37333719,ADVOCATE,sexual assault crisis counselor victim advocate core qualifications microsoft office and general computer skills education august 2012 master of social work fordham university city may 2009 bachelor of arts social services quinnipiac university state social services may 2006 associate of science hum,3895592800,Bilingual Clinician- JOR,HEALTHCARE,Health Care Provider,0.7667437195777893,False
